mes,producto,codCliente,nombreCliente,categoria,departamento,montoVenta
2022-01-10,Consola,3312,Rene Quinteros Zamora,Entretenimiento,Cojutepeque,950
2023-11-02,Consola,4976,Yazmin Veronica Ramirez,Entretenimiento,Usulutan,950
2023-06-23,Cocina,3312,Rene Quinteros Zamora,Otros,Cojutepeque,400
2023-09-28,Celular,5662,Ulises del Dios Henriquez,Portatil,La Libertad,390
2023-09-21,Cocina,1804,Carlos Antonio Gomez Chavarria,Otros,La Paz,400
2022-04-23,Asistente inteligente,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,San Miguel,100
2023-09-07,Televisor,5662,Ulises del Dios Henriquez,Entretenimiento,Cojutepeque,500
2023-10-10,Consola,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Chalatenango,950
2022-02-07,Celular,4976,Yazmin Veronica Ramirez,Portatil,La Paz,390
2023-04-23,Consola,5662,Ulises del Dios Henriquez,Entretenimiento,Santa Ana,950
2022-11-07,Bocina,2422,Rosa Maria Guevara Elias,Entretenimiento,San Miguel,159
2022-08-18,Bocina,2422,Rosa Maria Guevara Elias,Entretenimiento,Chalatenango,159
2022-04-22,Ventilador,5662,Ulises del Dios Henriquez,Otros,Chalatenango,75
2022-09-01,Consola,2422,Rosa Maria Guevara Elias,Entretenimiento,Chalatenango,950
2023-04-12,Cafetera,3312,Rene Quinteros Zamora,Otros,San Salvador,85
2023-12-22,Celular,1804,Carlos Antonio Gomez Chavarria,Portatil,La Libertad,390
2023-03-03,DVD,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,La Paz,150
2022-12-25,Bocina,2422,Rosa Maria Guevara Elias,Entretenimiento,San Salvador,159
2023-10-02,Celular,4976,Yazmin Veronica Ramirez,Portatil,Usulutan,390
2022-04-13,Cocina,1804,Carlos Antonio Gomez Chavarria,Otros,La Libertad,400
2022-09-29,Asistente inteligente,3312,Rene Quinteros Zamora,Entretenimiento,La Libertad,100
2024-01-31,Televisor,4976,Yazmin Veronica Ramirez,Entretenimiento,Chalatenango,500
2023-01-28,DVD,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Usulutan,150
2022-01-19,Televisor,2422,Rosa Maria Guevara Elias,Entretenimiento,San Salvador,500
2023-12-03,Computadora,2422,Rosa Maria Guevara Elias,Portatil,Cojutepeque,1150
2023-05-16,Consola,4976,Yazmin Veronica Ramirez,Entretenimiento,Santa Ana,950
2023-10-07,Consola,3312,Rene Quinteros Zamora,Entretenimiento,Chalatenango,950
2022-02-25,Ventilador,4976,Yazmin Veronica Ramirez,Otros,Usulutan,75
2022-09-05,Televisor,1804,Carlos Antonio Gomez Chavarria,Entretenimiento,Santa Ana,500
2024-01-11,Plancha,3312,Rene Quinteros Zamora,Otros,Cojutepeque,35
2022-09-16,Cocina,5662,Ulises del Dios Henriquez,Otros,San Salvador,400
2024-03-23,Celular,1804,Carlos Antonio Gomez Chavarria,Portatil,San Salvador,390
2023-12-11,Consola,3312,Rene Quinteros Zamora,Entretenimiento,Usulutan,950
2022-03-20,Bocina,4976,Yazmin Veronica Ramirez,Entretenimiento,La Libertad,159
2023-01-04,Cafetera,1804,Carlos Antonio Gomez Chavarria,Otros,Chalatenango,85
2024-01-07,Celular,1804,Carlos Antonio Gomez Chavarria,Portatil,Chalatenango,390
2023-04-25,Bocina,3312,Rene Quinteros Zamora,Entretenimiento,La Paz,159
2022-08-02,DVD,4976,Yazmin Veronica Ramirez,Entretenimiento,La Paz,150
2024-03-26,Asistente inteligente,4976,Yazmin Veronica Ramirez,Entretenimiento,Cojutepeque,100
2023-10-29,DVD,5662,Ulises del Dios Henriquez,Entretenimiento,Cojutepeque,150
2023-11-06,Computadora,1804,Carlos Antonio Gomez Chavarria,Portatil,Santa Ana,1150
2022-04-07,Radio,2422,Rosa Maria Guevara Elias,Portatil,Usulutan,150
2022-03-02,Asistente inteligente,4976,Yazmin Veronica Ramirez,Entretenimiento,Santa Ana,100
2023-07-25,Cafetera,5662,Ulises del Dios Henriquez,Otros,San Salvador,85
2022-11-07,Celular,1804,Carlos Antonio Gomez Chavarria,Portatil,Chalatenango,390
2022-12-26,DVD,5662,Ulises del Dios Henriquez,Entretenimiento,La Paz,150
2024-02-08,Radio,1804,Carlos Antonio Gomez Chavarria,Portatil,San Salvador,150
